X (m),Y (m),Theta (rad)
-1.8155710620519896,0.20950617818862527,-2.523184949638838
-1.8155601656326128,0.20949781787637067,-2.5232274252386904
-1.8155683177697963,0.2094917227770804,-2.5232215683353223
-1.8155569326718675,0.2094961220155732,-2.5232179504849106
-1.815561684061104,0.20948020079324933,-2.52322353719813
-1.8155649075151892,0.20950048292587073,-2.523203492105672
-1.8155729922771033,0.209503059645823,-2.523216608272981
-1.8155841147409666,0.2095095562725487,-2.5231949741516666
-1.8155841360711524,0.20950889004415887,-2.5232255352561683
-1.81553504729016,0.20947122821998426,-2.523275507142814
-1.8155987802278113,0.2095052041787519,-2.523188455758034
-1.8156611764718298,0.20955099569811056,-2.523176383320218
-1.8156761193666406,0.2095645980372221,-2.523218698094867
-1.815698802318576,0.2095770064852627,-2.523229519080386
-1.815728826106597,0.2096012186571911,-2.523196998997107
-1.8157618969201474,0.20961786384097458,-2.5231829676015076
-1.815754126353736,0.2096358257911069,-2.5232185630639496
-1.8157725210049718,0.2096403076687908,-2.5231957117713364
-1.815785550213002,0.20964209412198553,-2.523210086897422
-1.8157897415015438,0.20965300282281524,-2.5232135835516103
-1.8158134805777706,0.2096568729203896,-2.5231867861289827
-1.8158111822939742,0.20967015455552038,-2.5232092322589006
-1.8158201265089011,0.20967833542089467,-2.5231879126947065
-1.8158210104248744,0.20967012120533662,-2.523208560350543
-1.8158243163664962,0.2096865854367573,-2.5231933733810505
-1.8159204060198708,0.2095251593052271,-2.5231299656851127
-1.8172906798769723,0.20858897408338548,-2.5229629550131683
-1.8187849201565662,0.20754796598984576,-2.522867894074914
-1.8243718819051487,0.20416241022189677,-2.520745552492578
-1.8296566829765986,0.20058952059314714,-2.5210067631930495
-1.8430718470260161,0.1911749086291621,-2.5207818993345152
-1.8594812120622466,0.17962859219242303,-2.519683577877386
-1.8700671319539661,0.17218016761675467,-2.5196547407461702
-1.8884867298597234,0.15910717463094382,-2.519277342264579
-1.908378780533827,0.14471844554281535,-2.5195336222823337
-1.9204856306499725,0.1359095676058904,-2.519626100592252
-1.9384355927992323,0.12287021542646606,-2.5186966623140865
-1.9504430011961158,0.11420761040942382,-2.518516933950766
-1.9673614874104202,0.10184867289812377,-2.5186003331421807
-1.9786355520699457,0.09414216599011893,-2.5169323573135456
-1.9963207797056053,0.08171712779666018,-2.517916021782853
-2.007738302371531,0.0737750779958253,-2.517945005939794
-2.0261315706924,0.060665516930664735,-2.5174526006232467
-2.0380530565585064,0.052082223332487146,-2.5177195747776304
-2.0558430513509403,0.03926425331432278,-2.517753694721017
-2.066955483649542,0.03123738224699566,-2.518030152531731
-2.084688642671932,0.01825521061109603,-2.518165058430128
-2.096319587843271,0.00982452447563883,-2.5179981019059268
-2.107684237800338,0.0016109254549670597,-2.51835284726999
-2.1264799825872616,-0.011970381757855017,-2.520658321867806
-2.145472582353444,-0.025821154010056864,-2.519498264618877
-2.155326103192582,-0.033076495621453754,-2.521541939903163
-2.1687209640733465,-0.04275975791683469,-2.5230430973802846
-2.1784402549057176,-0.04981821729703043,-2.5245043984150977
-2.1971858771776955,-0.0626482847096166,-2.5369886007517133
-2.2102187525051806,-0.07122238228802745,-2.5426532654698475
-2.228772949962011,-0.08295907557832798,-2.558353901843114
-2.2400191475840305,-0.0895160897178684,-2.566592761571351
-2.2582075094740386,-0.09848920961659807,-2.584463810544605
